speaker_id,utt_id,config,attacks,key
PA_0079,PA_T_0000001,aaa,-,bonafide
PA_0079,PA_T_0000002,aaa,-,bonafide
PA_0079,PA_T_0000003,aaa,-,bonafide
PA_0079,PA_T_0000004,aaa,-,bonafide
PA_0079,PA_T_0000005,aaa,-,bonafide
PA_0079,PA_T_0000006,aaa,-,bonafide
PA_0079,PA_T_0000007,aaa,-,bonafide
PA_0079,PA_T_0000008,aaa,-,bonafide
PA_0079,PA_T_0000009,aaa,-,bonafide
PA_0079,PA_T_0000010,aaa,-,bonafide
PA_0080,PA_T_0000011,aaa,-,bonafide
PA_0080,PA_T_0000012,aaa,-,bonafide
PA_0080,PA_T_0000013,aaa,-,bonafide
PA_0080,PA_T_0000014,aaa,-,bonafide
PA_0080,PA_T_0000015,aaa,-,bonafide
PA_0080,PA_T_0000016,aaa,-,bonafide
PA_0080,PA_T_0000017,aaa,-,bonafide
PA_0080,PA_T_0000018,aaa,-,bonafide
PA_0080,PA_T_0000019,aaa,-,bonafide
PA_0080,PA_T_0000020,aaa,-,bonafide
PA_0081,PA_T_0000021,aaa,-,bonafide
PA_0081,PA_T_0000022,aaa,-,bonafide
PA_0081,PA_T_0000023,aaa,-,bonafide
PA_0081,PA_T_0000024,aaa,-,bonafide
PA_0081,PA_T_0000025,aaa,-,bonafide
PA_0081,PA_T_0000026,aaa,-,bonafide
PA_0081,PA_T_0000027,aaa,-,bonafide
PA_0081,PA_T_0000028,aaa,-,bonafide
PA_0081,PA_T_0000029,aaa,-,bonafide
PA_0081,PA_T_0000030,aaa,-,bonafide
PA_0082,PA_T_0000031,aaa,-,bonafide
PA_0082,PA_T_0000032,aaa,-,bonafide
PA_0082,PA_T_0000033,aaa,-,bonafide
PA_0082,PA_T_0000034,aaa,-,bonafide
PA_0082,PA_T_0000035,aaa,-,bonafide
PA_0082,PA_T_0000036,aaa,-,bonafide
PA_0082,PA_T_0000037,aaa,-,bonafide
PA_0082,PA_T_0000038,aaa,-,bonafide
PA_0082,PA_T_0000039,aaa,-,bonafide
PA_0082,PA_T_0000040,aaa,-,bonafide
PA_0083,PA_T_0000041,aaa,-,bonafide
PA_0083,PA_T_0000042,aaa,-,bonafide
PA_0083,PA_T_0000043,aaa,-,bonafide
PA_0083,PA_T_0000044,aaa,-,bonafide
PA_0083,PA_T_0000045,aaa,-,bonafide
PA_0083,PA_T_0000046,aaa,-,bonafide
PA_0083,PA_T_0000047,aaa,-,bonafide
PA_0083,PA_T_0000048,aaa,-,bonafide
PA_0083,PA_T_0000049,aaa,-,bonafide
PA_0083,PA_T_0000050,aaa,-,bonafide
PA_0084,PA_T_0000051,aaa,-,bonafide
PA_0084,PA_T_0000052,aaa,-,bonafide
PA_0084,PA_T_0000053,aaa,-,bonafide
PA_0084,PA_T_0000054,aaa,-,bonafide
PA_0084,PA_T_0000055,aaa,-,bonafide
PA_0084,PA_T_0000056,aaa,-,bonafide
PA_0084,PA_T_0000057,aaa,-,bonafide
PA_0084,PA_T_0000058,aaa,-,bonafide
PA_0084,PA_T_0000059,aaa,-,bonafide
PA_0084,PA_T_0000060,aaa,-,bonafide
PA_0085,PA_T_0000061,aaa,-,bonafide
PA_0085,PA_T_0000062,aaa,-,bonafide
PA_0085,PA_T_0000063,aaa,-,bonafide
PA_0085,PA_T_0000064,aaa,-,bonafide
PA_0085,PA_T_0000065,aaa,-,bonafide
PA_0085,PA_T_0000066,aaa,-,bonafide
PA_0085,PA_T_0000067,aaa,-,bonafide
PA_0085,PA_T_0000068,aaa,-,bonafide
PA_0085,PA_T_0000069,aaa,-,bonafide
PA_0085,PA_T_0000070,aaa,-,bonafide
PA_0086,PA_T_0000071,aaa,-,bonafide
PA_0086,PA_T_0000072,aaa,-,bonafide
PA_0086,PA_T_0000073,aaa,-,bonafide
PA_0086,PA_T_0000074,aaa,-,bonafide
PA_0086,PA_T_0000075,aaa,-,bonafide
PA_0086,PA_T_0000076,aaa,-,bonafide
PA_0086,PA_T_0000077,aaa,-,bonafide
PA_0086,PA_T_0000078,aaa,-,bonafide
PA_0086,PA_T_0000079,aaa,-,bonafide
PA_0086,PA_T_0000080,aaa,-,bonafide
PA_0087,PA_T_0000081,aaa,-,bonafide
PA_0087,PA_T_0000082,aaa,-,bonafide
PA_0087,PA_T_0000083,aaa,-,bonafide
PA_0087,PA_T_0000084,aaa,-,bonafide
PA_0087,PA_T_0000085,aaa,-,bonafide
PA_0087,PA_T_0000086,aaa,-,bonafide
PA_0087,PA_T_0000087,aaa,-,bonafide
PA_0087,PA_T_0000088,aaa,-,bonafide
PA_0087,PA_T_0000089,aaa,-,bonafide
PA_0087,PA_T_0000090,aaa,-,bonafide
PA_0088,PA_T_0000091,aaa,-,bonafide
PA_0088,PA_T_0000092,aaa,-,bonafide
PA_0088,PA_T_0000093,aaa,-,bonafide
PA_0088,PA_T_0000094,aaa,-,bonafide
PA_0088,PA_T_0000095,aaa,-,bonafide
PA_0088,PA_T_0000096,aaa,-,bonafide
PA_0088,PA_T_0000097,aaa,-,bonafide
PA_0088,PA_T_0000098,aaa,-,bonafide
PA_0088,PA_T_0000099,aaa,-,bonafide
PA_0088,PA_T_0000100,aaa,-,bonafide
PA_0089,PA_T_0000101,aaa,-,bonafide
PA_0089,PA_T_0000102,aaa,-,bonafide
PA_0089,PA_T_0000103,aaa,-,bonafide
PA_0089,PA_T_0000104,aaa,-,bonafide
PA_0089,PA_T_0000105,aaa,-,bonafide
PA_0089,PA_T_0000106,aaa,-,bonafide
PA_0089,PA_T_0000107,aaa,-,bonafide
PA_0089,PA_T_0000108,aaa,-,bonafide
PA_0089,PA_T_0000109,aaa,-,bonafide
PA_0089,PA_T_0000110,aaa,-,bonafide
PA_0090,PA_T_0000111,aaa,-,bonafide
PA_0090,PA_T_0000112,aaa,-,bonafide
PA_0090,PA_T_0000113,aaa,-,bonafide
PA_0090,PA_T_0000114,aaa,-,bonafide
PA_0090,PA_T_0000115,aaa,-,bonafide
PA_0090,PA_T_0000116,aaa,-,bonafide
PA_0090,PA_T_0000117,aaa,-,bonafide
PA_0090,PA_T_0000118,aaa,-,bonafide
PA_0090,PA_T_0000119,aaa,-,bonafide
PA_0090,PA_T_0000120,aaa,-,bonafide
PA_0091,PA_T_0000121,aaa,-,bonafide
PA_0091,PA_T_0000122,aaa,-,bonafide
PA_0091,PA_T_0000123,aaa,-,bonafide
PA_0091,PA_T_0000124,aaa,-,bonafide
PA_0091,PA_T_0000125,aaa,-,bonafide
PA_0091,PA_T_0000126,aaa,-,bonafide
PA_0091,PA_T_0000127,aaa,-,bonafide
PA_0091,PA_T_0000128,aaa,-,bonafide
PA_0091,PA_T_0000129,aaa,-,bonafide
PA_0091,PA_T_0000130,aaa,-,bonafide
PA_0092,PA_T_0000131,aaa,-,bonafide
PA_0092,PA_T_0000132,aaa,-,bonafide
PA_0092,PA_T_0000133,aaa,-,bonafide
PA_0092,PA_T_0000134,aaa,-,bonafide
PA_0092,PA_T_0000135,aaa,-,bonafide
PA_0092,PA_T_0000136,aaa,-,bonafide
PA_0092,PA_T_0000137,aaa,-,bonafide
PA_0092,PA_T_0000138,aaa,-,bonafide
PA_0092,PA_T_0000139,aaa,-,bonafide
PA_0092,PA_T_0000140,aaa,-,bonafide
PA_0093,PA_T_0000141,aaa,-,bonafide
PA_0093,PA_T_0000142,aaa,-,bonafide
PA_0093,PA_T_0000143,aaa,-,bonafide
PA_0093,PA_T_0000144,aaa,-,bonafide
PA_0093,PA_T_0000145,aaa,-,bonafide
PA_0093,PA_T_0000146,aaa,-,bonafide
PA_0093,PA_T_0000147,aaa,-,bonafide
PA_0093,PA_T_0000148,aaa,-,bonafide
PA_0093,PA_T_0000149,aaa,-,bonafide
PA_0093,PA_T_0000150,aaa,-,bonafide
PA_0094,PA_T_0000151,aaa,-,bonafide
PA_0094,PA_T_0000152,aaa,-,bonafide
PA_0094,PA_T_0000153,aaa,-,bonafide
PA_0094,PA_T_0000154,aaa,-,bonafide
PA_0094,PA_T_0000155,aaa,-,bonafide
PA_0094,PA_T_0000156,aaa,-,bonafide
PA_0094,PA_T_0000157,aaa,-,bonafide
PA_0094,PA_T_0000158,aaa,-,bonafide
PA_0094,PA_T_0000159,aaa,-,bonafide
PA_0094,PA_T_0000160,aaa,-,bonafide
PA_0095,PA_T_0000161,aaa,-,bonafide
PA_0095,PA_T_0000162,aaa,-,bonafide
PA_0095,PA_T_0000163,aaa,-,bonafide
PA_0095,PA_T_0000164,aaa,-,bonafide
PA_0095,PA_T_0000165,aaa,-,bonafide
PA_0095,PA_T_0000166,aaa,-,bonafide
PA_0095,PA_T_0000167,aaa,-,bonafide
PA_0095,PA_T_0000168,aaa,-,bonafide
PA_0095,PA_T_0000169,aaa,-,bonafide
PA_0095,PA_T_0000170,aaa,-,bonafide
PA_0096,PA_T_0000171,aaa,-,bonafide
PA_0096,PA_T_0000172,aaa,-,bonafide
PA_0096,PA_T_0000173,aaa,-,bonafide
PA_0096,PA_T_0000174,aaa,-,bonafide
PA_0096,PA_T_0000175,aaa,-,bonafide
PA_0096,PA_T_0000176,aaa,-,bonafide
PA_0096,PA_T_0000177,aaa,-,bonafide
PA_0096,PA_T_0000178,aaa,-,bonafide
PA_0096,PA_T_0000179,aaa,-,bonafide
PA_0096,PA_T_0000180,aaa,-,bonafide
PA_0097,PA_T_0000181,aaa,-,bonafide
PA_0097,PA_T_0000182,aaa,-,bonafide
